period_start,period_end,report_timezone,source_report,metric,traffic_source,segment,value,data_status,report_lag_note,export_reference,notes
2026-09-07,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 부분 기간(6일),총 클릭수,google web search,all geographies,0,partial_due_to_reporting_lag,GSC 최종 업데이트 7.5시간 전(2026-09-15 KST); 9/13 미게시 → 완결 7일 기준선 아님,screen-read,account is not the verified owner (Settings); role not displayed; custom range start_date=20260907 end_date=20260912
2026-09-07,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 부분 기간(6일),총 노출수,google web search,all geographies,2,partial_due_to_reporting_lag,GSC 최종 업데이트 7.5시간 전(2026-09-15 KST); 9/13 미게시 → 완결 7일 기준선 아님,screen-read,daily points: 9/7=1 9/10=1
2026-09-07,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 부분 기간(6일),평균 CTR,google web search,all geographies,0%,partial_due_to_reporting_lag,9/13 미게시 → 완결 7일 기준선 아님,screen-read,
2026-09-07,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 부분 기간(6일),평균 게재순위,google web search,all geographies,8,partial_due_to_reporting_lag,9/13 미게시 → 완결 7일 기준선 아님,screen-read,
2026-09-15,2026-09-15,PT,GSC Sitemaps 제출 영수증,/sitemap.xml 상태,,,제출 2026-09-15 · 상태 "가져올 수 없음" · 마지막으로 읽은 날짜 없음 · 발견된 페이지 0,observed,Google 문서상 미해결 가져오기 오류(원인 미확인) — 실제 URL 테스트 결과는 MD §6-1,screen-read,dialog "사이트맵이 제출됨"; 재제출·색인 요청 없음; Naver·Bing 미제출(도구 거부·미로그인)
2026-09-02,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 전체 가용 구간,총 클릭수,google web search,all geographies,0,observed,3개월 프리셋이 가용 데이터 9/2~9/12 로 클램프됨,screen-read,검색어 표 "데이터 없음"
2026-09-02,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 전체 가용 구간,총 노출수,google web search,all geographies,3,observed,3개월 프리셋이 가용 데이터 9/2~9/12 로 클램프됨,screen-read,daily points: 9/3=1 9/7=1 9/10=1
2026-09-02,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 전체 가용 구간,평균 CTR,google web search,all geographies,0%,observed,,screen-read,
2026-09-02,2026-09-12,PT,GSC 실적(검색결과) 검색 유형: 웹 — 전체 가용 구간,평균 게재순위,google web search,all geographies,16.7,observed,,screen-read,
2026-06-17,2026-09-15,PT,GSC 페이지 색인 생성,색인 생성됨,,all geographies,1,observed,90일 창,screen-read,색인 안 됨 0 · 지난 90일 문제 없음 · 어느 URL 인지는 미확인
,,PT,GSC 생성형 AI 실적,생성형 AI 노출,,all geographies,,unavailable,보고서 항목이 내비게이션에 없음 · 추정 URL 404,screen-read,사용 불가 사실만 확인 — 원인 미확인(노출 부족·제외·롤아웃 여부 알 수 없음) — 0 아님
2026-06-17,2026-09-15,PT,GSC 크롤링 통계(지난 90일),총 크롤링 요청,,all geographies,150,observed,,screen-read,AdsBot 65% · 응답 200 91% / 301 9% · 새로고침 95%
,,PT,GSC robots.txt 보고서,마지막 확인일,,,2026-08-28 09:21,observed,배포(2026-09-15) 이전 확인일 · 당시 수신 내용은 알 수 없음(크기 -),screen-read,상태 가져옴 · 크기 - · 문제 -
,,KST,Naver Search Advisor 콘텐츠 노출/클릭,노출수·클릭수,naver web search,all,,unavailable,약 1주 지연 · 90일 보관(가이드),none,브라우저 도구가 searchadvisor.naver.com 을 거부(safety restrictions) · 등록 여부 미확인 · 사람 수동 처리 필요
,,,Bing Webmaster AI Performance,citations,bing/copilot,all,,unavailable,,none,Microsoft 계정 미로그인 · 자격증명 입력 불가 정책 · 사용자에게 비동기 요청됨
,,,Play Console Store performance,스토어 등록정보 방문자 · 고유 클릭 · CTR,,KR,,unavailable,,none,로그인한 개인 Google 계정에 개발자 계정 없음(가입 화면) · 조직 계정 세션 필요 · 사용자에게 비동기 요청됨
,,,Play Console Statistics,사용자 획득,,KR,,unavailable,,none,위와 동일
